"","stop_id","stop_name","stop_lat","stop_lon","zip"
"236","000008013344","Wolmirstedt, Bahnhof",52.25045,11.635337,"39326"
"237","000008013345","Woltersdorf (Nuthe-Urstromtal), Bahnhof",52.116885,13.193933,"14947"
"238","000008010193","S Königs Wusterhausen Bhf",52.296719,13.631534,"15711"
"239","000008011703","Griebo, Bhf",51.880568,12.522963,"6886"
"240","000008013109","Groß Köris, Bahnhof",52.15926,13.650767,"15746"
"241","000008013492","Seddin (PM), Bahnhof",52.291781,12.984759,"14554"
"242","000008013493","Niesky",51.298736,14.831897,"2906"
"243","000008011387","Doberschütz, Bahnhof",51.49212,12.745249,"4838"
"244","000008012611","Passow, Bahnhof",53.148344,14.100766,"16306"
"245","000008012734","Rehfeld (EE), Bahnhof",51.579907,13.153918,"4895"
"246","000008012733","Potsdam, Rehbrücke Bhf",52.358818,13.098009,"14478"
"247","000008012145","Lampertswalde, Bahnhof",51.308502,13.680492,"1561"
"248","000008010226","Magdeburg-Neustadt, Bahnhof",52.148924,11.641805,"39106"
"249","000008010224","Magdeburg, Hauptbahnhof",52.130196,11.627439,"39104"
"250","000008010222","Lutherstadt Wittenberg, Hauptbahnhof",51.867536,12.661997,"6886"
"251","000008010220","Lübbenau, Bahnhof",51.862114,13.962173,"3222"
"252","000008012295","Mahlwinkel, Bahnhof",52.393498,11.788141,"39326"
"253","000008011776","Grüneberg, Bahnhof",52.868313,13.213804,"16775"
"254","000008010182","Jüterbog, Bahnhof",51.997928,13.055159,"14913"
"255","000008010183","Sedlitz, Ost Bhf",51.553417,14.055357,"1968"
"256","000008011414","Drebkau, Bahnhof",51.654665,14.221974,"3116"
"257","000008011536","Ferdinandshof, Bahnhof",53.659646,13.882317,"17379"
"258","000008011537","Fermerswalde, Bahnhof",51.643071,13.173707,"4916"
"259","000008011533","Grünheide, Fangschleuse Bhf",52.406916,13.824657,"15537"
"260","000008013487","S Oranienburg Bhf",52.754362,13.248432,"16515"
"261","000008013483","S Hennigsdorf (Berlin)",52.637866,13.205875,"16761"
"262","000008013480","Ferch-Lienewitz, Bahnhof",52.303833,12.964135,"14548"
"263","000008013481","Potsdam, Golm Bhf",52.410552,12.972179,"14476"
"264","000008013489","Priort, Bahnhof",52.515563,12.971315,"14641"
"265","000008012605","Kunersdorf (SPN), Bahnhof",51.769027,14.187491,"3099"
"266","000008011093","Bärenklau (OHV), Bahnhof",52.704225,13.143258,"16727"
"267","000008011098","Bahnsdorf (OSL), Bahnhof",51.581728,14.112302,"1983"
"268","000008010217","Lübben, Bahnhof",51.940702,13.876873,"15907"
"269","000008010214","Löwenberg (Mark), Bahnhof",52.896962,13.189862,"16775"
"270","000008010215","Ludwigsfelde, Bahnhof",52.299211,13.267601,"14974"
"271","000008010334","Stendal, Bahnhof",52.595007,11.854614,"39576"
"272","000008010335","Stendal, Bahnhof Stadtsee",52.606836,11.836728,"39576"
"273","000008081220","Saarmund, Bahnhof",52.323649,13.139738,"14558"
"274","000008012282","Lutherstadt Wittenberg, Bhf Piesteritz",51.871933,12.59623,"6886"
"275","000008010338","Stralsund, Hauptbahnhof",54.308757,13.077688,"18437"
"276","000008012280","Lutherstadt Wittenberg, Bhf Altstadt",51.863675,12.641878,"6886"
"277","000008012289","Magdeburg, Eichenweiler Bahnhof",52.166452,11.657931,"39126"
"278","000008011408","Dossow, Bahnhof",53.120712,12.521835,"16909"
"279","000008011409","Drahnsdorf, Bahnhof",51.915672,13.581945,"15938"
"280","000008013160","Uebigau, Bahnhof",51.585421,13.296546,"4938"
"281","000008012897","Luckaitztal, Bahnhof",51.685048,14.001706,"3229"
"282","000008080260","Dallgow-Döberitz, Bahnhof",52.543674,13.05836,"14624"
"283","900000001103","Berlin, Wiebestr./Huttenstr.",52.528315,13.320255,"10553"
"284","900000001151","Berlin, Reuchlinstr.",52.5279,13.323632,"10553"
"285","900000001152","Berlin, Neues Ufer",52.5291,13.315976,"10553"
"286","900000001154","Berlin, Ilsenburger Str.",52.525753,13.309834,"10553"
"287","900000001155","Berlin, Goslarer Platz",52.525793,13.314256,"10553"
"288","900000001202","Berlin, Am Nordhafen",52.53885,13.36361,"10557"
"289","900000001203","Berlin, Döberitzer Str.",52.530665,13.368107,"10557"
"290","900000001204","Berlin, Lehrter Str./Invalidenstr.",52.525764,13.365223,"10557"
"291","900000002101","Berlin, Turmstr./Waldstr.",52.527104,13.33043,"10551"
"292","900000002102","Berlin, Turmstr./Beusselstr.",52.527339,13.328743,"10551"
"293","900000002151","Berlin, Wittstocker Str.",52.530856,13.32851,"10551"
"294","900000002201","U Birkenstr. (Berlin)",52.532229,13.341417,"13353"
"295","900000002202","Berlin, Wilsnacker Str.",52.526363,13.351406,"10551"
"296","900000002203","Berlin, Stendaler Str.",52.532458,13.350532,"13353"
"297","900000002204","Berlin, Perleberger Brücke",52.535329,13.358033,"10557"
"298","900000002206","Berlin, Turmstr./Rathenower Str.",52.526684,13.354805,"10557"
"299","900000002207","Berlin, Stromstr.",52.529189,13.344006,"10551"
"300","900000002254","Berlin, Birkenstr./Rathenower Str.",52.529654,13.352907,"10557"
"301","900000002255","Berlin, Seydlitzstr.",52.527035,13.364158,"10557"
"302","900000002256","Berlin, Poststadion",52.530281,13.362431,"10557"
"303","900000002257","Berlin, Kruppstr.",52.533387,13.359639,"10557"
"304","900000002258","Berlin, Havelberger Str.",52.531025,13.347673,"10551"
"305","900000003101","U Hansaplatz (Berlin)",52.518111,13.342165,"10557"
"306","900000003102","S Bellevue (Berlin)",52.519951,13.347098,"10557"
"307","900000003103","S Tiergarten (Berlin)",52.513963,13.336235,"10623"
"308","900000003104","U Turmstr. (Berlin)",52.525938,13.341417,"10551"
"309","900000003105","Berlin, Bachstr.",52.518598,13.339573,"10551"
"310","900000003107","Berlin, Alt-Moabit/Gotzkowskystr.",52.523929,13.329892,"10551"
"311","900000003152","Berlin, Solinger Str.",52.520547,13.335728,"10551"
"312","900000003155","Berlin, Rathaus Tiergarten",52.526062,13.339166,"10551"
"313","900000003156","Berlin, Ottostr.",52.524681,13.334925,"10551"
"314","900000003181","Berlin, Zinzendorfstr.",52.522221,13.331506,"10551"
"315","900000003201","S+U Berlin Hauptbahnhof",52.525847,13.368924,"10557"
"316","900000003202","Berlin, Kirchstr./Alt-Moabit",52.524542,13.349582,"10551"
"317","900000003203","Berlin, Alt-Moabit/Rathenower Str.",52.523692,13.35707,"10557"
