"","c.zips5..zips6..zips7..zips8..zips9..zips10."
"1356","15230"
"1357","15230"
"1358","15234"
"1359","15236"
"1360","15236"
"1361","15236"
"1362","15236"
"1363","15234"
"1364","15234"
"1365","15234"
"1366","15234"
"1367","15230"
"1368","15230"
"1369","15236"
"1370","15236"
"1371","15236"
"1372","15236"
"1373","15236"
"1374","15236"
"1375","15236"
"1376","15234"
"1377","15236"
"1378","14624"
"1379","14624"
"1380","14641"
"1381","15230"
"1382","15230"
"1383","15232"
"1384","15232"
"1385","15230"
"1386","15230"
"1387","15230"
"1388","15230"
"1389","15234"
"1390","15230"
"1391","15230"
"1392","15230"
"1393","15230"
"1394","15230"
"1395","15234"
"1396","15234"
"1397","15234"
"1398","15234"
"1399","15234"
"1400","15234"
"1401","15230"
"1402","15236"
"1403","14641"
"1404","14641"
"1405","14641"
"1406","14641"
"1407","14641"
"1408","14641"
"1409","14641"
"1410","14641"
"1411","14641"
"1412","14656"
"1413","14656"
"1414","14641"
"1415","14641"
"1416","14656"
"1417","14656"
"1418","14656"
"1419","14656"
"1420","14778"
"1421","14641"
"1422","14641"
"1423","14641"
"1424","14641"
"1425","14641"
"1426","14641"
"1427","14641"
"1428","14641"
"1429","14641"
"1430","14641"
"1431","14641"
"1432","14641"
"1433","14715"
"1434","14715"
"1435","14715"
"1436","14715"
"1437","14715"
"1438","12529"
"1439","12529"
"1440","12529"
"1441","12529"
"1442","12529"
"1443","03205"
"1444","14513"
"1445","14513"
"1446","14797"
"1447","14467"
"1448","14467"
"1449","14469"
"1450","14469"
"1451","14476"
"1452","14476"
"1453","14476"
"1454","14476"
"1455","14476"
"1456","14476"
"1457","14476"
"1458","14476"
"1459","14476"
"1460","14476"
"1461","14476"
"1462","14476"
"1463","16727"
"1464","16727"
"1465","16306"
"1466","15232"
"1467","15232"
"1468","15236"
"1469","15236"
"1470","15230"
"1471","15230"
"1472","15232"
"1473","15232"
"1474","15230"
"1475","15230"
"1476","15230"
"1477","15230"
"1478","15230"
"1479","15230"
"1480","15230"
"1481","15230"
"1482","15230"
"1483","15230"
"1484","15230"
"1485","15230"
"1486","15234"
"1487","15234"
"1488","15234"
"1489","15234"
"1490","15234"
"1491","15234"
"1492","15230"
"1493","15230"
"1494","15234"
"1495","15234"
"1496","15236"
"1497","15236"
"1498","15230"
"1499","15230"
"1500","15230"
"1501","15230"
"1502","15230"
"1503","15236"
"1504","15236"
"1505","15236"
"1506","15236"
"1507","15236"
"1508","15236"
"1509","15236"
"1510","15236"
"1511","15236"
"1512","15236"
"1513","15236"
"1514","15236"
"1515","15236"
"1516","15236"
"1517","15230"
"1518","15230"
"1519","15234"
"1520","15234"
"1521","15234"
"1522","15234"
"1523","15234"
"1524","15234"
"1525","15234"
"1526","15234"
"1527","15230"
"1528","15230"
"1529","15230"
"1530","15236"
"1531","15236"
"1532","15236"
"1533","15236"
"1534","15236"
"1535","15236"
"1536","15234"
"1537","15234"
"1538","15230"
"1539","15230"
"1540","15230"
"1541","15236"
"1542","15236"
"1543","15234"
"1544","15234"
"1545","14929"
"1546","14823"
"1547","14776"
"1548","19322"
"1549","16835"
"1550","16359"
"1551","16230"
"1552","19348"
"1553","14513"
"1554","14513"
"1555","14513"
"1556","14513"
"1557","15831"
"1558","14913"
"1559","14913"
"1560","14913"
"1561","14913"
"1562","14913"
"1563","15806"
"1564","12529"
"1565","12529"
"1566","15831"
"1567","15831"
"1568","15831"
"1569","13469"
"1570","16359"
"1571","16230"
"1572","Postcode Not Found"
"1573","16559"
"1574","16356"
"1575","16359"
"1576","14979"
"1577","12109"
"1578","14641"
"1579","14641"
"1580","14641"
"1581","14641"
"1582","14641"
"1583","14641"
"1584","14641"
"1585","14641"
"1586","14641"
"1587","14641"
"1588","14641"
"1589","14641"
"1590","14641"
"1591","14641"
"1592","14641"
"1593","14641"
"1594","14641"
"1595","14641"
"1596","14641"
"1597","14641"
"1598","14641"
"1599","14641"
"1600","14641"
"1601","14641"
"1602","14776"
"1603","14772"
"1604","14776"
"1605","14776"
"1606","14776"
"1607","14776"
"1608","14776"
"1609","14776"
"1610","14776"
"1611","14776"
"1612","14776"
"1613","14776"
"1614","14770"
"1615","14770"
"1616","14776"
"1617","14776"
"1618","14776"
"1619","14776"
"1620","14776"
"1621","14776"
"1622","14776"
"1623","14776"
"1624","16816"
"1625","23970"
"1626","14770"
"1627","16798"
"1628","16798"
"1629","16798"
"1630","16775"
"1631","16775"
"1632","16247"
"1633","16247"
"1634","16278"
"1635","16247"
"1636","10627"
"1637","13405"
"1638","14712"
"1639","14712"
"1640","14712"
"1641","14712"
"1642","14467"
"1643","14467"
"1644","14467"
"1645","14467"
"1646","14467"
"1647","14467"
"1648","14467"
"1649","14467"
"1650","14467"
"1651","14467"
"1652","16818"
"1653","14772"
"1654","19322"
"1655","16845"
"1656","14641"
"1657","14641"
"1658","14641"
"1659","14641"
"1660","14641"
"1661","14641"
"1662","14641"
"1663","14641"
"1664","16818"
"1665","14712"
"1666","14476"
"1667","14467"
"1668","14467"
"1669","14478"
"1670","14478"
"1671","14469"
"1672","14469"
"1673","14478"
"1674","14478"
"1675","14478"
